iter	Passed	Remaining
0	0	37
1	0	34
2	1	33
3	1	32
4	1	31
5	2	33
6	2	34
7	2	33
8	3	32
9	3	31
10	3	31
11	4	30
12	4	29
13	4	29
14	4	28
15	5	27
16	5	26
17	5	26
18	6	25
19	6	25
20	6	24
21	6	24
22	7	23
23	7	23
24	7	23
25	7	22
26	8	22
27	8	21
28	8	21
29	9	21
30	9	20
31	9	20
32	9	19
33	10	19
34	10	19
35	10	18
36	10	18
37	11	18
38	11	17
39	11	17
40	11	17
41	12	16
42	12	16
43	12	16
44	13	15
45	13	15
46	13	15
47	13	14
48	14	14
49	14	14
50	15	14
51	15	14
52	15	14
53	16	13
54	16	13
55	16	13
56	17	13
57	17	12
58	18	12
59	18	12
60	18	11
61	19	11
62	19	11
63	19	11
64	20	10
65	20	10
66	20	10
67	21	10
68	21	9
69	22	9
70	22	9
71	22	8
72	23	8
73	23	8
74	23	7
75	24	7
76	24	7
77	24	7
78	25	6
79	25	6
80	25	6
81	26	5
82	26	5
83	26	5
84	27	4
85	27	4
86	27	4
87	28	3
88	28	3
89	28	3
90	29	2
91	29	2
92	29	2
93	30	1
94	30	1
95	31	1
96	31	0
97	32	0
98	32	0
99	33	0
