iter	Passed	Remaining
0	8	8124
1	8	4302
2	9	3009
3	9	2358
4	10	1999
5	10	1750
6	11	1564
7	11	1413
8	11	1308
9	12	1217
10	12	1150
11	13	1101
12	13	1053
13	14	1006
14	14	967
15	15	930
16	15	895
17	15	866
18	16	849
19	16	831
20	17	811
21	17	793
22	18	779
23	18	761
24	19	745
25	19	737
26	20	727
27	20	719
28	21	707
29	21	700
30	22	693
31	22	684
32	23	675
33	23	668
34	23	659
35	24	650
36	24	644
37	25	642
38	25	638
39	26	631
40	26	627
41	27	622
42	27	621
43	28	618
44	29	615
45	29	610
46	29	604
47	30	600
48	30	595
49	31	591
50	31	587
51	32	584
52	32	582
53	33	580
54	33	578
55	34	575
56	34	572
57	35	569
58	35	566
59	35	562
60	36	560
61	37	560
62	37	560
63	38	560
64	38	560
65	39	559
66	40	558
67	40	555
68	40	553
69	41	549
70	42	550
71	42	548
72	43	548
73	43	547
74	44	547
75	44	544
76	45	542
77	45	542
78	46	540
79	46	537
80	47	536
81	47	536
82	48	531
83	48	528
84	48	526
85	49	524
86	49	522
87	50	520
88	50	519
89	51	519
90	51	517
91	52	515
92	52	513
93	53	511
94	53	509
95	53	508
96	54	506
97	54	505
98	55	504
99	55	503
100	56	502
101	57	502
102	57	500
103	57	498
104	58	498
105	58	496
106	59	495
107	59	494
108	60	494
109	60	492
110	61	490
111	61	489
112	62	487
113	62	486
114	63	486
115	63	484
116	64	483
117	64	482
118	65	481
119	65	480
120	66	479
121	66	478
122	66	477
123	67	475
124	67	474
125	68	473
126	68	472
127	69	472
128	69	471
129	70	470
130	70	470
131	71	470
132	71	469
133	72	467
134	72	466
135	73	465
136	73	464
137	74	465
138	74	463
139	75	462
140	75	460
141	75	458
142	76	458
143	78	465
144	79	469
145	80	469
146	80	468
147	81	466
148	81	465
149	85	484
150	85	483
151	88	491
152	89	493
153	89	492
154	91	496
155	92	499
156	93	500
157	94	501
158	94	499
159	94	498
160	95	495
161	97	504
162	98	505
163	98	504
164	99	502
165	99	500
166	100	499
167	100	499
168	101	500
169	106	518
170	107	518
171	107	517
172	107	515
173	108	513
174	108	511
175	108	510
176	109	508
177	109	506
178	111	511
179	111	510
180	112	508
181	112	506
182	113	505
183	113	503
184	113	501
185	114	500
186	114	498
187	115	496
188	115	495
189	115	494
190	116	492
191	117	493
192	117	492
193	118	490
194	118	489
195	118	487
196	119	487
197	119	485
198	120	484
199	120	482
200	121	481
201	121	479
202	121	478
203	122	479
204	123	478
205	124	478
206	124	476
207	124	475
208	125	473
209	125	472
210	125	471
211	126	469
212	126	468
213	127	467
214	127	465
215	127	464
216	128	463
217	128	461
218	129	460
219	129	458
220	129	457
221	130	456
222	130	454
223	130	453
224	131	452
225	132	453
226	132	452
227	133	450
228	133	449
229	133	448
230	134	449
231	135	449
232	136	449
233	136	448
234	137	447
235	137	445
236	138	444
237	138	443
238	138	441
239	140	444
240	140	443
241	141	442
242	141	441
243	142	440
244	142	439
245	143	438
246	145	442
247	147	447
248	148	446
249	148	445
250	148	443
251	149	443
252	150	443
253	151	443
254	151	442
255	151	441
256	152	440
257	152	439
258	153	439
259	154	439
260	155	440
261	156	439
262	156	438
263	157	438
264	158	438
265	158	437
266	159	436
267	159	435
268	159	434
269	160	433
270	160	432
271	161	431
272	161	430
273	162	430
274	162	429
275	163	428
276	163	427
277	164	426
278	164	425
279	165	424
280	165	423
281	165	422
282	166	421
283	166	420
284	167	419
285	167	418
286	167	417
287	168	416
288	168	415
289	169	413
290	169	412
291	169	411
292	170	412
293	171	411
294	171	410
295	172	409
296	172	408
297	173	407
298	173	406
299	173	405
300	174	404
301	174	403
302	175	402
303	175	401
304	175	400
305	176	399
306	176	398
307	176	397
308	177	397
309	178	396
310	178	395
311	178	394
312	179	393
313	179	392
314	179	391
315	180	390
316	180	389
317	180	388
318	181	387
319	181	386
320	182	385
321	182	384
322	183	383
323	183	382
324	183	381
325	184	380
326	184	380
327	185	379
328	185	378
329	186	377
330	186	376
331	186	376
332	187	375
333	187	374
334	188	373
335	188	373
336	189	372
337	189	371
338	189	370
339	190	369
340	190	368
341	191	367
342	191	366
343	191	365
344	192	365
345	192	364
346	193	363
347	193	362
348	194	362
349	194	361
350	195	360
351	195	360
352	195	359
353	196	358
354	196	357
355	197	356
356	197	355
357	198	355
358	198	354
359	198	353
360	199	352
361	199	352
362	200	351
363	200	350
364	201	349
365	201	348
366	201	348
367	202	347
368	202	346
369	202	345
370	203	344
371	203	343
372	204	343
373	204	342
374	205	341
375	205	340
376	205	340
377	206	339
378	206	338
379	206	337
380	207	336
381	207	335
382	208	335
383	208	334
384	208	333
385	209	332
386	209	331
387	209	331
388	210	330
389	210	329
390	211	328
391	211	327
392	211	327
393	212	326
394	212	325
395	212	324
396	213	324
397	213	323
398	214	322
399	214	321
400	214	321
401	215	320
402	215	319
403	216	318
404	216	318
405	216	317
406	217	316
407	217	315
408	218	315
409	218	314
410	218	313
411	219	312
412	219	312
413	220	311
414	220	310
415	220	309
416	221	309
417	221	308
418	221	307
419	222	306
420	222	306
421	223	305
422	223	305
423	224	304
424	224	303
425	224	302
426	225	302
427	225	301
428	225	300
429	226	299
430	226	299
431	226	298
432	227	297
433	227	297
434	228	296
435	228	295
436	229	295
437	229	294
438	230	293
439	230	293
440	230	292
441	231	292
442	231	291
443	232	290
444	232	290
445	233	289
446	233	288
447	233	288
448	234	287
449	234	287
450	235	286
451	235	285
452	236	285
453	236	284
454	236	283
455	237	283
456	237	282
457	238	282
458	238	281
459	239	280
460	239	280
461	239	279
462	240	278
463	240	278
464	241	277
465	242	277
466	242	276
467	242	276
468	243	275
469	243	275
470	244	274
471	244	273
472	245	273
473	245	272
474	245	271
475	246	271
476	246	270
477	246	269
478	247	268
479	247	268
480	248	267
481	248	267
482	248	266
483	249	265
484	249	265
485	250	264
486	250	264
487	251	263
488	251	262
489	251	262
490	252	261
491	252	260
492	252	260
493	253	259
494	253	258
495	254	258
496	254	257
497	254	256
498	255	256
499	255	255
500	256	255
501	256	254
502	256	253
503	257	253
504	257	252
505	257	251
506	258	251
507	258	250
508	259	250
509	259	249
510	260	248
