iter	Passed	Remaining
0	66	66849
1	67	33580
2	67	22466
3	68	16945
4	68	13641
5	68	11416
6	69	9833
7	69	8652
8	70	7722
9	70	6980
10	70	6377
11	71	5873
12	71	5442
13	72	5071
14	72	4755
15	72	4474
16	73	4229
17	73	4011
18	73	3818
19	74	3640
20	74	3482
21	75	3335
22	75	3201
23	75	3077
24	76	2964
25	76	2859
26	76	2762
27	76	2671
28	77	2587
29	77	2509
30	77	2435
31	78	2368
32	78	2305
33	79	2245
34	79	2191
35	79	2142
36	80	2090
37	80	2041
38	81	1996
39	81	1952
40	81	1912
41	82	1871
42	82	1834
43	82	1799
44	83	1764
45	83	1733
46	83	1701
47	84	1668
48	84	1639
49	84	1612
50	85	1584
51	85	1558
52	85	1533
53	86	1509
54	86	1489
55	87	1470
56	87	1448
57	87	1428
58	88	1411
59	88	1393
60	89	1375
61	89	1356
62	90	1339
63	90	1322
64	90	1305
65	91	1289
66	91	1276
67	92	1262
68	92	1248
69	92	1233
70	93	1219
71	93	1207
72	94	1194
73	94	1181
74	94	1170
75	95	1158
76	95	1146
77	96	1135
78	96	1123
79	96	1112
80	97	1101
81	97	1090
82	97	1080
83	98	1073
84	98	1062
85	99	1052
86	99	1044
87	99	1034
88	100	1025
89	100	1015
90	100	1008
91	101	1000
92	101	993
93	102	986
94	102	980
95	103	973
96	103	965
97	104	957
98	104	950
99	104	942
100	105	936
101	105	929
102	106	924
103	106	917
104	106	910
105	107	903
106	107	897
107	107	891
108	108	885
109	108	878
110	108	872
111	109	867
112	109	861
113	110	855
114	110	849
115	110	843
116	111	838
117	111	832
118	111	826
119	112	821
120	112	816
121	112	811
122	112	804
123	113	799
124	113	794
125	113	790
126	114	786
127	114	782
128	115	779
129	115	774
130	115	769
131	116	764
132	116	760
133	117	757
134	117	752
135	117	748
136	118	745
137	118	741
138	119	737
139	119	733
140	119	730
141	120	726
142	120	722
143	121	719
144	121	716
145	122	713
146	122	711
147	122	707
148	123	703
149	123	699
150	123	696
151	124	692
152	124	689
153	124	686
154	125	682
155	125	679
156	125	676
157	126	673
158	126	669
159	127	667
160	127	664
161	127	660
162	128	658
163	128	655
164	129	653
165	129	650
166	129	647
167	130	644
168	130	642
169	131	640
170	131	637
171	131	635
172	132	632
173	132	629
174	132	626
175	133	623
176	133	620
177	133	618
178	134	616
179	134	614
180	135	611
181	135	609
182	135	606
183	136	604
184	136	601
185	136	599
186	137	597
187	137	594
188	138	592
189	138	590
190	139	589
191	139	586
192	139	584
193	140	581
194	140	579
195	140	577
196	141	575
197	141	572
198	141	570
199	142	568
200	142	567
201	143	565
202	143	563
203	144	562
204	144	559
205	144	558
206	145	556
207	145	553
208	145	552
209	146	550
210	146	549
211	147	547
212	147	545
213	147	543
214	148	541
215	148	539
216	149	537
217	149	535
218	149	534
219	150	532
220	150	530
221	150	528
222	151	526
223	151	524
224	151	522
225	152	520
226	152	519
227	152	517
228	153	515
229	153	513
230	153	511
231	154	509
232	154	508
233	154	506
234	154	504
235	155	502
236	155	500
237	155	499
238	156	497
239	156	495
240	156	494
241	157	492
242	157	490
243	157	489
244	158	487
245	158	485
246	158	484
247	159	482
248	159	481
249	159	479
250	160	478
251	160	476
252	160	475
253	161	473
254	161	472
255	161	470
256	162	469
257	162	467
258	162	466
259	163	464
260	163	462
261	163	461
262	164	459
263	164	458
264	164	456
265	164	455
266	165	453
267	165	452
268	165	450
269	166	449
270	166	447
271	166	446
272	167	444
273	167	443
274	167	441
275	167	440
276	168	439
277	168	437
278	168	436
279	169	435
280	169	433
281	169	432
282	170	430
283	170	429
284	170	428
285	171	426
286	171	425
287	171	424
288	171	422
289	172	421
290	172	420
291	172	418
292	173	417
293	173	416
294	173	415
295	174	413
296	174	412
297	174	411
298	174	409
299	175	408
300	175	408
301	176	407
302	176	405
303	176	404
304	177	403
305	177	402
306	177	401
307	178	400
308	178	399
309	178	398
310	179	396
311	179	395
312	179	394
313	180	393
314	180	392
315	180	391
316	181	390
317	181	389
318	182	388
319	182	387
320	182	386
321	183	385
322	183	384
323	183	383
324	184	382
325	184	381
326	184	380
327	185	379
328	185	378
329	185	377
330	186	376
331	186	375
332	186	374
333	187	373
334	187	372
335	187	371
336	188	370
337	188	369
338	188	368
339	189	367
340	189	366
341	189	365
342	190	364
343	190	363
344	190	362
345	191	361
346	191	360
347	191	359
348	192	358
349	192	357
350	192	356
351	193	355
352	193	354
353	193	353
354	194	352
355	194	351
356	194	350
357	194	349
358	195	348
359	195	347
360	195	346
361	196	345
362	196	344
363	196	343
364	196	342
365	197	341
366	197	340
367	197	339
368	198	339
369	198	338
370	199	337
371	199	336
372	199	335
373	200	334
374	200	333
375	200	333
376	200	332
377	201	331
378	201	330
379	202	329
380	202	328
381	202	328
382	203	327
383	203	326
384	203	325
385	204	324
386	204	323
387	204	322
388	204	321
389	205	320
390	205	320
391	205	319
392	206	318
393	206	317
394	207	317
395	207	316
396	207	315
397	208	314
398	208	313
399	208	313
400	209	312
401	209	311
402	209	310
403	210	310
404	210	309
405	210	308
406	211	307
407	211	306
408	211	306
409	212	305
410	212	304
411	212	303
412	213	303
413	213	302
414	213	301
415	214	300
416	214	299
417	214	299
418	215	298
419	215	297
420	215	296
421	216	296
422	216	295
423	216	294
424	217	293
425	217	293
426	217	292
427	218	291
428	218	290
429	218	290
430	219	289
431	219	288
432	219	287
433	220	287
434	220	286
435	220	285
436	221	285
437	221	284
438	221	283
439	222	282
440	222	282
441	222	281
442	223	280
443	223	279
